NAME : input200_6.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 200 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 182 87
2 43 181
3 155 25
4 200 91
5 190 80
6 85 13
7 1 179
8 128 35
9 20 2
10 162 61
11 6 160
12 199 115
13 14 30
14 87 183
15 200 79
16 146 128
17 124 144
18 6 193
19 60 71
20 136 111
21 103 115
22 5 186
23 171 146
24 74 73
25 80 72
26 134 144
27 67 61
28 75 28
29 19 115
30 36 105
31 28 45
32 162 177
33 189 37
34 30 70
35 184 149
36 162 124
37 75 12
38 18 113
39 50 125
40 11 115
41 9 80
42 151 179
43 192 14
44 81 21
45 195 147
46 178 148
47 189 23
48 149 123
49 172 134
50 69 189
51 61 69
52 3 66
53 104 26
54 37 69
55 123 43
56 67 114
57 187 104
58 122 133
59 5 133
60 1 60
61 194 53
62 56 168
63 59 14
64 126 49
65 153 144
66 65 105
67 97 196
68 7 19
69 83 84
70 185 72
71 6 146
72 55 125
73 179 168
74 141 115
75 196 173
76 125 94
77 100 195
78 140 57
79 53 84
80 31 20
81 110 23
82 194 69
83 50 83
84 154 115
85 86 34
86 2 79
87 162 3
88 111 179
89 161 86
90 90 116
91 87 129
92 23 118
93 129 135
94 50 44
95 130 57
96 105 132
97 90 126
98 35 6
99 194 49
100 105 31
101 147 179
102 135 152
103 87 80
104 10 162
105 96 18
106 8 170
107 61 129
108 184 100
109 87 126
110 52 197
111 170 176
112 193 26
113 115 132
114 35 101
115 129 120
116 114 77
117 156 78
118 178 97
119 169 39
120 139 74
121 34 34
122 148 74
123 152 198
124 118 72
125 166 170
126 31 94
127 45 66
128 183 99
129 125 79
130 115 55
131 99 47
132 126 77
133 153 121
134 20 177
135 77 167
136 88 63
137 153 34
138 181 141
139 87 122
140 110 185
141 64 65
142 130 9
143 78 197
144 114 126
145 6 183
146 172 134
147 74 61
148 183 169
149 163 125
150 93 177
151 124 3
152 84 92
153 116 68
154 147 110
155 11 112
156 35 49
157 105 68
158 57 161
159 181 47
160 12 72
161 123 193
162 128 152
163 129 44
164 38 98
165 140 66
166 22 116
167 59 113
168 37 199
169 132 37
170 49 183
171 136 90
172 16 104
173 118 34
174 173 12
175 25 38
176 132 86
177 122 97
178 65 119
179 126 196
180 56 165
181 188 120
182 136 49
183 138 23
184 182 58
185 34 161
186 66 122
187 6 175
188 199 74
189 53 19
190 51 29
191 46 155
192 106 11
193 28 20
194 125 75
195 59 47
196 101 164
197 33 167
198 89 45
199 177 63
200 149 28
